학년,학기,과목구분,교과목명,교과목코드,학점
3,1학기,전선,인공지능설계프로젝트,AIC0012,3
3,1학기,전선,소프트웨어개발론,BUS8009,3
3,1학기,전선,프로그래밍언어론,CIS2003,3
3,1학기,전선,데이타베이스시스템,CIS3009,3
3,1학기,전선,모바일응용소프트웨어,CIS4022,3
3,1학기,전선,데이터통신,ECE3007,3
3,1학기,전선,임베디드소프트웨어,ECE3044,3
3,1학기,전선,지능HCI,SAI0023,3
3,2학기,전선,가상현실,CIS3004,3
3,2학기,전선,컴퓨터그래픽스,CIS3020,3
3,2학기,전선,소프트웨어공학론,CIS3030,3
3,2학기,전선,컴퓨터네트워크,ECE3026,3
3,2학기,전선,데이터과학,SAI0002,3
3,2학기,전선,산학협력프로젝트(캡스톤디자인),SAI0029,3
4,1학기,전선,컴파일러,CIS4004,3
4,1학기,전선,영상처리,ECE4004,3
4,1학기,전선,클라우드컴퓨팅,ECE9054,3
4,1학기,전필,소프트웨어캡스톤디자인,SAI0011,3
4,1학기,전선,고급알고리즘,SAI0013,3
4,1학기,전선,게임소프트웨어,SAI0014,3
4,1학기,전선,소프트웨어리버스엔지니어링,SAI0024,3
4,1학기,전선,인공지능소프트웨어개발및운영파이프라인,SAI0049,3
4,2학기,전선,분산시스템,CIS3012,3
4,2학기,전선,병렬프로그래밍,SAI0005,3
4,2학기,전선,소프트웨어검증,SAI0021,3
4,2학기,전선,컴퓨터시뮬레이션,SAI0022,3
