,,,,,,
NO,학년,학기,과목구분,교과목명,교과목코드,학점
1,3학년,1학기,전선,데이타베이스시스템,CIS3009,3
2,3학년,1학기,전선,기계학습,CPE9020,3
3,3학년,1학기,전선,임베디드소프트웨어,ECE3044,3
4,3학년,1학기,전선,소프트웨어리버스엔지니어링,SAI0024,3
5,3학년,1학기,전선,애플리케이션보안,SAI0033,3
6,3학년,1학기,전선,네트워크보안,SAI0034,3
7,3학년,1학기,전선,암호학개론,SAI0035,3
8,3학년,2학기,전선,딥러닝,AIC0023,3
9,3학년,2학기,전선,컴파일러,CIS4004,3
10,3학년,2학기,전선,산학협력프로젝트(캡스톤디자인),SAI0029,3
11,3학년,2학기,전선,시스템보안,SAI0036,3
12,3학년,2학기,전선,인공지능보안,SAI0037,3
13,3학년,2학기,전선,사이버공방실습,SAI0038,3
14,3학년,2학기,전선,소프트웨어개발보안,SAI0039,3
15,4학년,1학기,전선,분산시스템,CIS3012,3
16,4학년,1학기,전선,모바일응용소프트웨어,CIS4022,3
17,4학년,1학기,전선,고급정보보안,SAI0040,3
18,4학년,1학기,전선,정보보호법및관리체계,SAI0041,3
19,4학년,1학기,전필,정보보안캡스톤디자인,SAI0042,3
20,4학년,1학기,전선,디지털포렌식,SAI0043,3
21,4학년,1학기,전선,클라우드컴퓨팅과보안,SAI0044,3
22,4학년,2학기,전선,블록체인응용,SAI0020,3
23,4학년,2학기,전선,침해및사고대응,SAI0045,3
24,4학년,2학기,전선,사물인터넷보안,SAI0046,3
25,4학년,2학기,전선,산업제어시스템보안,SAI0047,3
26,4학년,2학기,전선,프로그램분석기법,SAI0048,3
