학수번호,교과목명,학점,자기,영역
,,,학습,
,,,시간,
ADS5002,기초통계,3,6,전공
ADS5006,기계학습특론,3,6,전공
ADS5032,데이터사이언스응용,3,6,전공
ADS5034,컴퓨터 비전,3,6,전공
ADS5035,데이터기반보안과프라이버시,3,6,전공
AIM5001,인공지능론,3,6,전공
AIM5002,기계학습론,3,6,전공
AIM5004,심층신경망,3,6,전공
AIM5010,강화학습특론,3,6,전공
AIM5020,컴퓨터비전론,3,6,전공
AIM5021,자연어처리이론및응용,3,6,전공
AIM5022,정보검색,3,6,전공
AIM5024,추천시스템,3,6,전공
AIM5025,지능형로봇및시스템,3,6,전공
AIM5053,인공지능과윤리,3,6,전공
AIM5055,베이지안학습론,3,6,전공
AIM5056,그래프기계학습방법론,3,6,전공
AIM5058,변분추론,3,6,전공
CHS5003,에이전트모델링을활용한소셜시뮬레이션,3,6,전공
CHS7003,인공지능응용,3,6,전공
COV7001,논문작성법및연구윤리1,1,2,전공
DAI4001,인공지능과프로그래밍,3,6,전공
DAI5001,인공지능기초,3,6,전공
DAI5002,인공지능프로그래밍,3,6,전공
DAI5003,인공지능을위한수학,3,6,전공
DAI5004,고급머신러닝/딥러닝,3,6,전공
DAI5005,고급데이터마이닝,3,6,전공
DAI5006,고급자연어처리,3,6,전공
DAI5007,융합서비스디자인프로세스,3,6,전공
DAI5008,고급강화학습,3,6,전공
