트랙명,트랙담당교수,트랙과목
Privacy Preserving Data Science,우사이먼 성일,ADS5035 데이터기반보안과프라이버시
Privacy Preserving Data Science,우사이먼 성일,DAI5001 인공지능기초
Privacy Preserving Data Science,우사이먼 성일,SOC4010 인공지능과인권
Privacy Preserving Data Science,우사이먼 성일,DAI5004 고급머신러닝/딥러닝
Privacy Preserving Data Science,우사이먼 성일,[추후개설예정] 신뢰가능한인공지능디자인
인터넷서비스 & AI,이대호,DAI5015 융합정보학이론
인터넷서비스 & AI,이대호,WIS5074 파이썬활용고급데이터분석
인터넷서비스 & AI,이대호,HAI5009 인터렉션빅데이터세미나
인터넷서비스 & AI,이대호,WIS5080 사용자경험가치평가
엔터테인먼트 & AI,박은일,DAI5017 데이터사이언스컴퓨팅
엔터테인먼트 & AI,박은일,DIM5004 인터랙티브그래프마이닝
엔터테인먼트 & AI,박은일,DAI5021 엔터테인먼트 추천 시스템
엔터테인먼트 & AI,박은일,DIM5001 실감미디어영상처리
사용자와 인터랙션,송하연,HAI5013 인공지능디자인과인간심리 
사용자와 인터랙션,송하연,WIS5032 미디어와인간심리  
사용자와 인터랙션,송하연,HAI5015 실험설계와통계분석 
사용자와 인터랙션,송하연,HAI5012 연구방법과통계기초
사용자와 인터랙션,송하연,WIS5078 사용자경험과인공지능
